ticker,start_time,mcap,24hVol_20260128,history_days
NILUSDT,2025-03-24,,1743247.204138,310.0
REZUSDT,2024-04-30,,1739165.568024,638.0
EPICUSDT,2025-03-13,,1731654.8159,321.0
C98USDT,2021-08-24,,1685073.1315,1618.0
JOEUSDT,2023-03-29,,1657825.9866,1036.0
COWUSDT,2024-11-06,,1647875.3097,448.0
NTRNUSDT,2023-11-14,,1637526.62976,806.0
TRUUSDT,2023-03-07,,1622600.35633,1058.0
1000000MOGUSDT,2024-11-07,,1617914.83645,447.0
SANTOSUSDT,2024-10-28,,1616980.0946,457.0
BANDUSDT,2020-07-29,,1606194.2752,2009.0
SIGNUSDT,2025-04-28,,1601034.30809,275.0
VICUSDT,2025-03-12,,1583720.5318,322.0
CKBUSDT,2023-02-28,,1578061.834417,1065.0
AIOUSDT,2025-08-13,,1565708.88453,168.0
ONUSDT,2025-10-24,,1552334.90626,96.0
ENJUSDT,2020-09-29,,1541044.26365,1947.0
USUSDT,2025-12-12,,1537090.53628,47.0
BLESSUSDT,2025-09-23,,1530306.37536,127.0
AIUSDT,2024-01-08,,1512312.21568,751.0
HAEDALUSDT,2025-05-01,,1511555.29104,272.0
SAFEUSDT,2024-10-25,,1493392.4104,460.0
LQTYUSDT,2023-03-10,,1474817.72334,1055.0
1000XECUSDT,2021-09-17,,1474617.49925,1594.0
POWRUSDT,2023-10-27,,1464418.93571,824.0
TAUSDT,2025-07-21,,1457490.10409,191.0
BANKUSDT,2025-04-18,,1381737.16317,285.0
TUTUSDT,,,1377147.11457,
AINUSDT,2025-07-10,,1376203.99285,202.0
SQDUSDT,2025-06-11,,1364742.82173,231.0
PORTALUSDT,2024-02-29,,1335238.119903,699.0
BMTUSDT,2025-03-17,,1329136.57329,317.0
ALLUSDT,2025-08-06,,1320628.6022,175.0
DENTUSDT,2021-03-24,,1317741.583997,1771.0
UAIUSDT,2025-11-06,,1294011.2328,83.0
GMXUSDT,2023-02-17,,1287595.7416,1076.0
PUMPBTCUSDT,2025-06-13,,1286679.6401,229.0
BUSDT,2025-05-22,,1284737.8812,251.0
APRUSDT,2025-10-23,,1279418.08831,97.0
AVAAIUSDT,2025-01-17,,1277226.60497,376.0
ASRUSDT,2025-05-06,,1272025.5316,267.0
XNYUSDT,2025-08-13,,1269650.976082,168.0
CELRUSDT,2021-03-29,,1263608.95769,1766.0
PHBUSDT,2023-02-16,,1252865.1835,1077.0
RAREUSDT,2024-08-15,,1243156.26007,531.0
USTCUSDT,2023-11-27,,1242064.476693,793.0
ICXUSDT,2020-09-15,,1237371.1326,1961.0
UMAUSDT,2023-05-10,,1225439.558,994.0
ARIAUSDT,2025-09-03,,1187067.18947,147.0
VINEUSDT,2025-01-24,,1181128.0486,369.0
HOTUSDT,2021-03-30,,1170700.977705,1765.0
LSKUSDT,2024-01-25,,1164566.6703,734.0
SOLVUSDT,2025-01-17,,1164254.19467,376.0
RIFUSDT,2023-10-21,,1151353.33692,830.0
CUSDT,2025-07-15,,1142706.50767,197.0
OGNUSDT,2021-04-01,,1137917.4669,1763.0
VTHOUSDT,2025-01-22,,1104563.5816123,371.0
MLNUSDT,2025-03-31,,1100035.16011,303.0
SONICUSDT,2025-01-08,,1090824.576656,385.0
BSVUSDT,2023-10-20,,1089135.603,831.0
BELUSDT,2020-11-18,,1088856.737,1897.0
AIOTUSDT,2025-04-30,,1088378.2639,273.0
CETUSUSDT,2024-11-06,,1087711.41349,448.0
TSTUSDT,2025-02-09,,1082951.7428,353.0
PIXELUSDT,2024-02-19,,1072888.68544,709.0
CHILLGUYUSDT,2024-11-27,,1065554.92514,427.0
SPELLUSDT,2022-09-06,,1059327.3034839,1240.0
ACEUSDT,2023-12-18,,1022417.700598,772.0
CGPTUSDT,2024-12-20,,983960.94723,404.0
KNCUSDT,2020-06-22,,977444.2991,2046.0
MOCAUSDT,2024-12-16,,974917.73493,408.0
CTSIUSDT,2021-10-26,,969553.5161,1555.0
SIRENUSDT,2025-03-22,,965946.6758,312.0
MOVRUSDT,2023-12-26,,961493.60532,764.0
MTLUSDT,2021-03-31,,957862.4387,1764.0
RLCUSDT,2020-07-31,,956072.7644,2007.0
ATAUSDT,2021-08-31,,951742.793,1611.0
TOWNSUSDT,2025-08-05,,951090.337496,176.0
LISTAUSDT,2024-06-20,,932352.9023,587.0
A2ZUSDT,2025-07-30,,901853.353465,182.0
VELODROMEUSDT,2024-12-13,,899220.83595,411.0
HIPPOUSDT,2024-11-13,,892300.358435,441.0
NKNUSDT,2021-04-09,,864356.60733,1755.0
HOOKUSDT,2023-01-23,,857035.167567,1101.0
PUNDIXUSDT,2025-04-30,,856967.0995,273.0
TUSDT,2023-02-01,,843651.76512,1092.0
HIGHUSDT,2023-02-07,,839869.11528,1086.0
CROSSUSDT,2025-07-10,,829838.51531,202.0
LUMIAUSDT,2024-12-18,,820453.11037,406.0
1000WHYUSDT,2024-11-25,,797053.653059,429.0
HIVEUSDT,2024-12-23,,794740.52473,401.0
WAXPUSDT,2023-10-18,,781583.495817,833.0
AKEUSDT,2025-09-26,,772511.7996462,124.0
IOTXUSDT,2021-08-12,,771157.26926,1630.0
CATIUSDT,2024-09-20,,769092.08866,495.0
RDNTUSDT,2023-04-05,,764124.02787,1029.0
ZKJUSDT,2025-05-13,,750248.350622,260.0
BICOUSDT,2023-09-28,,749522.42688,853.0
OLUSDT,2025-06-25,,744800.79444,217.0
DIAUSDT,2024-10-02,,736574.6806,483.0
RPLUSDT,2024-09-09,,725703.9004,506.0
AVAUSDT,2024-12-13,,722971.79828,411.0
DEGOUSDT,2024-12-13,,711300.85837,411.0
MBOXUSDT,2024-08-28,,710965.51879,518.0
VFYUSDT,2025-09-30,,702724.75141,120.0
SFPUSDT,2021-02-24,,701532.0362,1799.0
TACUSDT,2025-07-15,,693675.276502,197.0
FLUXUSDT,2024-09-03,,688442.3296,512.0
PUFFERUSDT,2025-06-04,,688215.9706,238.0
DFUSDT,2024-12-30,,685149.5888,394.0
MAVUSDT,2023-06-29,,672745.70215,944.0
DEGENUSDT,2024-11-15,,663661.964704,439.0
JCTUSDT,2025-11-10,,645316.16728,79.0
ETHWUSDT,2023-11-28,,643677.9583,792.0
